week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-04-20,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-04-20,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,8,2025-04-20,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,16,2025-04-20,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,26,2025-04-20,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,67,2025-04-20,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,85,2025-04-20,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,73,2025-04-20,NA,NA,NA,NA,NA,NA
2025-03-02,2025-03-08,86,2025-04-20,NA,NA,NA,NA,NA,NA
2025-03-09,2025-03-15,81,2025-04-20,NA,NA,NA,NA,NA,NA
2025-03-16,2025-03-22,102,2025-04-20,NA,NA,NA,NA,NA,NA
2025-03-23,2025-03-29,87,2025-04-20,11,94,92,99,93,95
2025-03-30,2025-04-05,102,2025-04-20,12,110,104,120,107,112
2025-04-06,2025-04-12,78,2025-04-20,13,91,82,105,88,95
2025-04-13,2025-04-19,62,2025-04-20,14,95,76,128.02499999999998,87,103
2025-04-20,2025-04-26,7,2025-04-20,15,78,33,164.02499999999998,60,99
