week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-04-13,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-04-13,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,8,2025-04-13,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,16,2025-04-13,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,26,2025-04-13,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,67,2025-04-13,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,85,2025-04-13,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,73,2025-04-13,NA,NA,NA,NA,NA,NA
2025-03-02,2025-03-08,84,2025-04-13,NA,NA,NA,NA,NA,NA
2025-03-09,2025-03-15,75,2025-04-13,NA,NA,NA,NA,NA,NA
2025-03-16,2025-03-22,99,2025-04-13,10,101,99,106,100,102
2025-03-23,2025-03-29,86,2025-04-13,11,100,94,111,97,103
2025-03-30,2025-04-05,96,2025-04-13,12,112,102,128,108,117
2025-04-06,2025-04-12,67,2025-04-13,13,111,88,153.02499999999998,102,122
2025-04-13,2025-04-19,14,2025-04-13,14,114,63,210.02499999999998,95,138.25
